Smiles,gatscore
O=C(NCCc1csc([C@@H]2CCCN(C(=O)CC3CCCC3)C2)n1)C1CC1,-8.325352668762207
[NH3+]CCN(C(=O)NC1CCCC1)C1CCOCC1,-7.785046100616455
CC(C)(C)c1cn(-c2ccc(F)cc2)c(=S)[nH]1,-7.415927886962891
CC[C@@]1(C)C[C@](CC(=O)[O-])(c2ccc(OC)cc2)CCO1,-7.880929470062256
COc1cccc([C@@H]2NC(=O)N(C)C3=C2C(=O)N(C2CC2)C3)c1,-7.404667854309082
Cc1ccc(C(=O)N2CCC(CC(=O)NCC[N@H+]3CCCC[C@@H]3C)CC2)cc1,-8.594278335571289
O=C(N[C@@H]1C[N@H+](CCCc2ccccc2)C[C@H]1CO)C1CCC1,-6.980072021484375
C[NH+]1CCC(NC(=O)c2ccc(CC3CCN(C(=O)C4CC4)CC3)cc2)CC1,-8.234993934631348
COc1cc2c(cc1OC)[C@H](C)N(C(=O)CCC(=O)[O-])CC2,-8.561483383178711
CC(C)(C)NC(=O)N1CCC2(CC1)C[C@@H](Cc1cccc(F)c1)CCO2,-8.5808744430542
CC1CCN(c2nc3ccc(C(=O)N[C@H]4CC[C@@H](C)CC4)cc3s2)CC1,-7.317955017089844
COCC(=O)NC1(CC2CC2)CCN(C(=O)c2cnn(C)c2)CC1,-7.017540454864502
COc1ccc2[nH]c3c([O-])n(Cc4ccc(C(=O)N[C@@H]5CCCC[C@H]5C)cc4)c(=S)nc3c2c1,-7.638787269592285
COc1ccc(CNC(=O)C2CCN(c3cc(C(=O)N4CCCC4)ccn3)CC2)cc1,-8.207069396972656
CCn1c(N2CCN(C(=O)NC3CCCC3)CC2)nc2ccccc21,-6.592735290527344
O=C(NC1CCCCC1)N1CCC(F)(C(=O)NCc2ccncc2)CC1,-7.784374237060547
O=C(NC1CC1)C(c1ccccc1)c1ccccc1,-5.660808563232422
CC1(C(=O)N2C[C@@H](COCC(N)=O)[C@H](c3ccccn3)C2)CCCCC1,-6.251190662384033
