Smiles,docking score,RFscore
CCC[C@@H](C)C[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)CCCCCC[C@H](O)C[C@H](O)[C@@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O,-9.702,-3.4114731004298546
O=C1c2ccccc2C(=O)c2c1cc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c(CO)c2O,-9.502,-4.261747470823845
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,-9.255,-3.9277914989876392
OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,-9.066,-4.0200956267685095
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,-8.883,-4.42903335849978
CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3CC(CN)C(O)C(O)C3O)C2O)CCC1(C)O,-8.704,-3.916558667864065
O=C1c2ccccc2C(=O)c2c1ccc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c2O,-8.568,-4.261747470823845
CCC1OC(CO)C(COCC2OC(COC3OC(CO)C(O)C(O)C3O)C(OC)C(O)C2O)C(O)C1O,-8.551,-4.4357539034124995
NCCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)O,-8.412,-4.547724496274746
COc1cc(N[C@H](C)CCCN)c2ncccc2c1,-8.22,-3.915636234517115
COc1cc(NC(C)CCCN)c2ncccc2c1,-8.22,-3.915636234517115
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-8.153,-4.6298355234196285
O=C1c2ccccc2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)ccc(O)c21,-8.092,-5.012682045841566
O=c1c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2oc2c(O)ccc(O)c12,-8.079,-4.8947008114276
Nc1c2ncn(Cc3ccccc3)c2nc[n+]1[O-],-7.897,-4.154022889349678
Nc1nc(NO)c2ncn(C3OC(CO)C(O)C3O)c2n1,-7.886,-4.663686047187037
OCC(CO)N[C@@H]1C[C@](O)(CO)[C@H](O)[C@@H](O)[C@@H]1O,-7.872,-3.7760441941798546
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-7.869,-4.968056001762558
CC(=O)C1(O)C=C(OC2CC(N)C(O)C(C)O2)c2c(c(O)c3c(O)c4ccccc4c(O)c3c2O)C1,-7.855,-4.254882889306933
CSCCC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,-7.808,-4.217688441852979
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c(O)c1C2=O,-7.803,-4.42903335849978
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,-7.762,-4.021906911205169
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,-7.762,-3.696983236745833
O=C1c2ccccc2C(=O)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc(O)c21,-7.749,-5.012682045841566
