Smiles,docking score,gcnscore,SVMscore,XGBscore,gatscore,LGBMscore,RFscore,DNNscore,Ridgescore,mean,std
Br/C=C/Br,-2.009,-3.26360821723938,-2.989052481776315,-2.9671674,-3.0531234741210938,-3.377355470494136,-3.509191489361703,-1.0980067253112793,-2.977621345465267,-2.904390825471147,0.7578289153453225
BrC(Br)Br,-2.031,-2.086418628692627,-2.954851238035213,-3.4651158,-2.8293137550354004,-3.377355470494136,-3.509191489361703,-1.351844072341919,-3.106123915619838,-2.835026796197605,0.755339085808028
BrC(Br)C(Br)(Br)Br,-1.907,-2.1240651607513428,-3.0493139163731744,-3.9597962,-3.3874058723449707,-3.377355470494136,-3.509191489361703,-1.5935795307159424,-3.1867010046594264,-3.023426080587587,0.7792986256810065
BrC(Br)C(Br)Br,-2.064,-3.1459410190582275,-2.9399712496818458,-3.4651158,-3.504098653793335,-3.377355470494136,-3.509191489361703,-1.1828867197036743,-3.0637510351414416,-3.023538929654296,0.7744634764293615
BrC/C=C\CBr,-2.211,-3.319995164871216,-3.046163730829133,-2.9671674,-3.3374836444854736,-3.377355470494136,-3.509191489361703,-1.2378268241882324,-3.0361434618626206,-2.978915898261565,0.7294007957681262
BrCBr,-1.557,-2.4034535884857178,-2.911753750085944,-2.9671674,-2.466745138168335,-3.377355470494136,-3.509191489361703,-1.0592024326324463,-3.023949821658083,-2.7148523863607954,0.7715996715450288
BrCC(Br)(Br)Br,-2.173,-2.590022325515747,-3.07885976305054,-3.595207,-3.0422394275665283,-3.377355470494136,-3.509191489361703,-1.5621192455291748,-3.209081972684306,-2.995509586775267,0.659337789727153
BrCC(Br)C1CCC(Br)C(Br)C1,-3.187,-5.513481140136719,-3.1785898797608385,-3.4477866,-4.813886642456055,-3.377355470494136,-3.509191489361703,-1.788489580154419,-3.4000961776675376,-3.6286096225039266,1.1153786346533778
BrCC(Br)CBr,-2.649,-4.080544471740723,-2.9832532842605985,-3.4651158,-3.351435661315918,-3.377355470494136,-3.509191489361703,-1.663821578025818,-3.189831417041096,-3.202568646529999,0.6971888402814764
BrCC(Br)c1ccccc1,-3.441,-3.530100584030152,-3.283111434603572,-3.967688,-4.103658199310303,-3.611161491442817,-3.509191489361703,-2.504096746444702,-3.4340426367305703,-3.4928813227404776,0.4839261458171061
BrCC1CO1,-2.024,-3.54714298248291,-3.08484735347409,-2.9263103,-2.8235509395599365,-3.377355470494136,-3.509191489361703,-1.709592580795288,-3.389211932994262,-3.0459003811452905,0.6029196297834863
BrCCBr,-1.974,-2.5623412132263184,-2.8719079457565933,-2.9671674,-2.715139627456665,-3.377355470494136,-3.509191489361703,-1.1171531677246094,-3.000992275153604,-2.7651560736467036,0.736376179474112
BrCCC(Br)Br,-2.289,-3.7337143421173096,-3.1041136919840597,-3.4857771,-3.430338144302368,-3.429742187867317,-3.509191489361703,-2.034494400024414,-3.218818819792003,-3.243273771931147,0.5238493160506452
BrCCCBr,-2.536,-2.582319498062134,-2.924709568347401,-3.032616,-2.937156438827514,-3.377355470494136,-3.509191489361703,-1.3076353073120115,-3.089120226477992,-2.8450129998603613,0.6831319468354878
BrCCCCBr,-2.616,-2.5818936824798584,-2.918326341142913,-3.032616,-3.020296335220337,-3.377355470494136,-3.509191489361703,-1.3927662372589111,-3.112333216463492,-2.868097346552669,0.6591406730037995
BrCCCCCBr,-2.665,-2.8731977939605717,-2.931454029884124,-3.032616,-3.100226163864136,-3.377355470494136,-3.509191489361703,-1.39734148979187,-3.10746125286819,-2.9161054612780912,0.6499797175952496
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1,-3.324,-7.055238723754883,-3.1785898797608385,-3.4477866,-4.795636177062988,-3.377355470494136,-3.509191489361703,-1.788489580154419,-3.4000961776675376,-3.819048012282064,1.5382953446988141
BrC[C@H]1CO1,-2.446,-3.176021099090576,-3.08484735347409,-2.9263103,-2.864858388900757,-3.377355470494136,-3.509191489361703,-1.709592580795288,-3.389211932994262,-3.0046735768888513,0.5707152842029087
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,-2.942,-4.105651378631592,-3.566607264770223,-3.616191,-4.837697982788086,-3.658558239731172,-3.509191489361703,-3.7393100261688232,-3.7683699424397874,-3.8501971654864233,0.43876430991241455
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,-3.209,-4.035122871398926,-3.486934258784438,-3.247532,-4.672335147857666,-3.611161491442817,-3.509191489361703,-3.6590635776519775,-3.576834944335192,-3.72477197260409,0.4414430338156321
BrCc1c2ccccc2cc2c1ccc1ccccc12,-3.187,-3.781336069107056,-3.3520225101043466,-3.1756942,-4.606547832489014,-3.611161491442817,-3.509191489361703,-3.126277208328247,-3.4117078432203205,-3.571742330506688,0.4704708239814011
BrCc1c2ccccc2cc2ccc3ccccc3c12,-3.271,-3.8976364135742183,-3.413453143487623,-3.507037,-4.627195358276367,-3.611161491442817,-3.509191489361703,-3.5156216621398926,-3.439826335758409,-3.690140361755129,0.40765941323030025
BrCc1c2ccccc2cc2ccccc12,-3.697,-3.5366499423980717,-3.378350181441103,-3.507037,-4.238207817077637,-3.611161491442817,-3.509191489361703,-2.969910144805908,-3.4587459413140964,-3.5261567509801672,0.34863146829859654
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,-4.264,-3.678931951522827,-3.3496667853217725,-3.3330624,-4.384655475616455,-3.611161491442817,-3.509191489361703,-3.227564811706543,-3.4453616793084905,-3.5674495105350763,0.36220600656390095
BrCc1ccc(Br)cc1,-3.221,-3.3599331378936768,-3.2540495134127854,-3.4148505,-3.5605039596557617,-3.429742187867317,-3.509191489361703,-2.230190753936768,-3.3883769339424594,-3.268354809508809,0.4295581540343172
BrCc1ccc(CBr)cc1,-3.66,-3.243797540664673,-3.267410285295526,-3.4148505,-3.716954946517944,-3.429742187867317,-3.509191489361703,-2.088530302047729,-3.3935315980682206,-3.2580011062278893,0.49485246250328685
BrCc1ccc2c(c1)-c1cccc3cccc-2c13,-3.297,-3.460343599319458,-3.405335747663296,-3.3888807,-4.30533504486084,-3.658558239731172,-3.509191489361703,-3.274522542953491,-3.5500342483625342,-3.569025201531562,0.31890412017134556
BrCc1ccc2c3c(cccc13)-c1ccccc1-2,-3.468,-3.70900559425354,-3.3251029681661324,-3.3971877,-4.267973899841309,-3.611161491442817,-3.509191489361703,-3.119608163833618,-3.3528745037421004,-3.5365132263301526,0.3469759328404859
BrCc1ccc2cccc3c2c1-c1ccccc1-3,-3.718,-3.7031543254852295,-3.437654083142489,-3.316746,-4.307982444763184,-3.611161491442817,-3.509191489361703,-3.2209789752960205,-3.5393288995121948,-3.580774713625455,0.33192528703301294
BrCc1cccc(CBr)c1,-3.763,-3.665086030960083,-3.322378373807452,-3.5530128,-3.947276592254639,-3.658558239731172,-3.509191489361703,-2.3501079082489014,-3.465548039486885,-3.433894934231355,0.4743980348080583
BrCc1cccc2c1-c1cccc3cccc-2c13,-3.872,-3.5217788219451904,-3.457432085759033,-3.5189364,-4.277224063873291,-3.658558239731172,-3.509191489361703,-3.1083366870880127,-3.603752085152477,-3.58190123411386,0.3256750187006866
BrCc1ccccc1,-2.775,-3.817031383514404,-3.2427498294340635,-3.3832016,-3.5502829551696777,-3.611161491442817,-3.509191489361703,-2.4973037242889404,-3.3596553001874185,-3.371322221674878,0.39423177408395776
BrCc1ccccc1CBr,-3.04,-3.758484125137329,-3.32518885250051,-3.547273,-3.882912158966065,-3.611161491442817,-3.509191489361703,-2.3713412284851074,-3.486295297592398,-3.4364809554357416,0.46297977248539035
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,-3.034,-9.975424766540527,-3.013987674200626,-2.9498382,-6.368322372436523,-3.377355470494136,-3.509191489361703,-1.192325234413147,-3.1339811223393963,-4.190053291223258,2.7350203857990514
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-2.183,-2.338111162185669,-2.9924143961664607,-2.9671674,-4.240633010864258,-3.377355470494136,-3.509191489361703,-1.1949676275253296,-3.029578038716397,-2.956177324414244,0.8963201801269559
Brc1c2ccccc2cc2c1ccc1ccccc12,-2.951,-3.714342355728149,-3.4166437297970567,-2.9387407,-4.519709587097168,-3.611161491442817,-3.509191489361703,-2.9480013847351074,-3.506998857900049,-3.5205986995077563,0.4959131435539696
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,-3.337,-3.0129783153533936,-3.2138497799586405,-3.6879327,-5.428288459777832,-3.377355470494136,-3.509191489361703,-1.492683172225952,-3.276215308290531,-3.374811836932774,1.0718366842289913
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-2.691,-5.620297431945801,-3.296511689733993,-3.6879327,-5.909306526184082,-3.377355470494136,-3.509191489361703,-2.182243585586548,-3.498543592958261,-3.885172810783066,1.2502508793258156
Brc1ccc(-c2ccccc2)cc1,-3.761,-3.872313976287842,-3.267607758681072,-3.4434059,-4.1302809715271,-3.611161491442817,-3.509191489361703,-2.411046266555786,-3.3054954449291567,-3.443812912348185,0.5076442161902632
Brc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,-3.874,-3.98655366897583,-3.465908191622157,-3.7252257,-5.233626365661621,-3.611161491442817,-3.509191489361703,-2.9444024562835693,-3.6361755540700935,-3.764030614677224,0.6629005705147825
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-3.667,-3.868797540664673,-3.372256362292865,-3.634379,-5.2647705078125,-3.429742187867317,-3.509191489361703,-1.928880214691162,-3.3817647273916704,-3.548722753760236,0.9065814180684427
Brc1ccc2c(c1)C1OC1C1CCCCC21,-3.648,-3.615185260772705,-3.440235442763002,-3.4796803,-4.234187602996826,-3.658558239731172,-3.509191489361703,-2.6832821369171143,-3.6740615911754793,-3.5367977579647505,0.4256091227435964
Brc1ccc2c(c1)C=CC1CCCCC21,-3.907,-3.241404294967652,-3.50690371398099,-3.4048305,-4.022362232208252,-3.429742187867317,-3.509191489361703,-2.391465425491333,-3.566740649413453,-3.384080061661338,0.4597613261663724
Brc1cccc(-c2ccccc2)c1,-3.437,-3.8190877437591553,-3.364775725204609,-3.4802196,-4.190110206604004,-3.611161491442817,-3.509191489361703,-2.662604570388794,-3.3942427093161016,-3.503924192009648,0.4344914647614763
Brc1cccc2cc3c(ccc4ccccc43)cc12,-3.198,-3.5555553436279297,-3.3776319278847016,-3.5316036,-4.564522743225098,-3.611161491442817,-3.509191489361703,-3.21205997467041,-3.5011551936875764,-3.6078602204875296,0.40612266543532843
Brc1ccccc1,-2.509,-3.644711494445801,-3.19777156307617,-3.585814,-3.503294944763184,-3.611161491442817,-3.509191489361703,-2.0819990634918213,-3.237447407003887,-3.296423931698173,0.5182683392067475
Brc1ccccc1-c1ccccc1,-3.312,-3.77880334854126,-3.2469490858143697,-3.4752643,-4.118069171905518,-3.611161491442817,-3.509191489361703,-2.438553094863892,-3.302588321628264,-3.435072537944728,0.48825419165021
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,-3.647,-4.213089466094971,-3.763972015154548,-3.7778747,-5.201714515686035,-3.796651545371384,-4.018,-3.3569724559783936,-3.548582420695285,-3.959607139872577,0.565743245447072
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,-2.866,-4.474181175231934,-3.6190515310484086,-3.840026,-5.185681819915772,-3.8053659968018474,-4.018,-3.046713590621948,-3.4747194602857263,-3.9329674467382048,0.6533798605306838
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,-3.851,-3.545569658279419,-3.8034804995136176,-3.4611912,-4.003551006317139,-3.5628455244227024,-4.378666666666667,-3.605330228805542,-3.6156353051228463,-3.7470337611409916,0.30741130313256265
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,-3.959,-4.008602142333984,-3.551371028805635,-2.6734078,-3.5689857006073,-3.5628455244227024,-4.378666666666667,-2.4891915321350098,-3.284888239199605,-3.4397448292713633,0.628410105899163
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.628,-3.5640695095062256,-3.650406158391116,-3.5347772,-4.021327972412109,-3.5628455244227024,-4.378666666666667,-2.886530637741089,-3.401397563069936,-3.625002654026231,0.43700043885735873
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,-3.418,-3.6277015209198,-3.711310880849181,-3.4912574,-4.112730503082275,-3.5628455244227024,-3.509191489361703,-3.2111737728118896,-3.455615112473339,-3.5852282754901115,0.2585091457065969
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.075,-3.1978952884674072,-3.8724608197466086,-3.8723638,-4.589207172393799,-3.909702218353505,-4.378666666666667,-3.248431444168091,-3.6635247176670753,-3.8415315159328944,0.4857702664434848
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,-3.794,-3.782308340072632,-3.736101961024121,-3.6140122,-4.390945911407471,-3.909702218353505,-4.378666666666667,-3.1851165294647217,-3.5044597967886686,-3.8126642029722233,0.4139076521836235
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-3.185,-4.523811340332031,-3.9877683260017136,-2.8857036,-4.562826156616211,-3.5628455244227024,-4.378666666666667,-3.856093168258667,-3.6609780153285625,-3.9273365997033194,0.568312726795765
C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,-1.919,-4.111527442932129,-3.682570715969354,-2.6500494,-3.785790681838989,-3.5628455244227024,-4.378666666666667,-2.930516481399536,-3.383639254568337,-3.5607007709747145,0.5726840963350538
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.36,-4.583643913269043,-3.6999640403951446,-2.9476585,-4.069209575653076,-3.5628455244227024,-4.378666666666667,-3.078264713287353,-3.449811437659738,-3.7212580464192158,0.5865265372039353
C#CCBr,-1.539,-2.473768472671509,-2.952185073400175,-2.9671674,-2.5823028087615967,-3.377355470494136,-3.509191489361703,-1.2826354503631592,-3.0516774481960462,-2.7745354516560403,0.6971129637116124
C#CCNC(=NCCSCc1nc[nH]c1C)NC#N,-4.344,-4.331931114196777,-3.9006136555169486,-3.1028218,-4.666630744934082,-3.857315500980324,-3.509191489361703,-3.8438119888305664,-3.717390267669316,-3.866213320186215,0.47685052961219554
C#CCO,-1.649,-2.836453676223755,-3.178654244764444,-3.3806188,-2.853142023086548,-3.866029952410787,-3.509191489361703,-1.343036413192749,-3.249040167330464,-3.027020845796306,0.7593319291972953
C#CCOCCN1C=CN(C)C1/C=N/O,-1.841,-4.798656940460205,-3.896305834647543,-4.3748565,-3.709930181503296,-3.857315500980324,-3.509191489361703,-3.087780714035034,-3.941565604482341,-3.896950345683806,0.5189439686616724
C#CCOCC[n+]1ccccc1/C=N/O,-1.755,-4.755191802978516,-3.8956727897325982,-4.4654593,-4.265296936035156,-4.099835973359467,-3.509191489361703,-3.291089534759521,-3.972615591931036,-4.0317941772697505,0.48022477800542895
C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1.378,-4.263956069946289,-4.014422541299027,-4.487902,-3.989952564239502,-3.615232241795884,-4.378666666666667,-3.7961502075195312,-3.8875053659498886,-4.054223457177098,0.30003645384346805
C#CCc1ccc(COC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)o1,-2.569,-4.544332504272461,-4.014422541299027,-4.487902,-4.142482757568359,-3.615232241795884,-4.378666666666667,-3.7961502075195312,-3.8875053659498886,-4.108336785633977,0.339454428358123
C#C[C@@](OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,-2.958,-4.213089466094971,-3.763972015154548,-3.7778747,-5.201714515686035,-3.796651545371384,-4.018,-3.3569724559783936,-3.548582420695285,-3.959607139872577,0.565743245447072
