Smiles,docking score,LGBMscore
CCC[C@@H](C)C[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)CCCCCC[C@H](O)C[C@H](O)[C@@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O,-9.702,-7.316710984685034
O=C1c2ccccc2C(=O)c2c1cc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c(CO)c2O,-9.502,-8.427783104282886
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,-9.255,-8.400764452316768
OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,-9.066,-7.041207545338263
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,-8.883,-7.0194191216627715
CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3CC(CN)C(O)C(O)C3O)C2O)CCC1(C)O,-8.704,-7.477994379174047
O=C1c2ccccc2C(=O)c2c1ccc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c2O,-8.568,-8.393816336217155
CCC1OC(CO)C(COCC2OC(COC3OC(CO)C(O)C(O)C3O)C(OC)C(O)C2O)C(O)C1O,-8.551,-7.063587239163621
NCCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)O,-8.412,-5.6480855236176915
COc1cc(N[C@H](C)CCCN)c2ncccc2c1,-8.22,-3.422033965218542
COc1cc(NC(C)CCCN)c2ncccc2c1,-8.22,-3.422033965218542
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-8.153,-7.991499343075203
O=C1c2ccccc2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)ccc(O)c21,-8.092,-7.734181240144304
O=c1c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2oc2c(O)ccc(O)c12,-8.079,-7.312040869888355
Nc1c2ncn(Cc3ccccc3)c2nc[n+]1[O-],-7.897,-4.428450200914153
Nc1nc(NO)c2ncn(C3OC(CO)C(O)C3O)c2n1,-7.886,-6.395210650160154
OCC(CO)N[C@@H]1C[C@](O)(CO)[C@H](O)[C@@H](O)[C@@H]1O,-7.872,-7.2455304408775465
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-7.869,-6.739928727189094
CC(=O)C1(O)C=C(OC2CC(N)C(O)C(C)O2)c2c(c(O)c3c(O)c4ccccc4c(O)c3c2O)C1,-7.855,-7.015748129262543
CSCCC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,-7.808,-5.941298446283297
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c(O)c1C2=O,-7.803,-7.0194191216627715
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,-7.762,-4.469494973198813
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,-7.762,-7.134160526783851
O=C1c2ccccc2C(=O)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc(O)c21,-7.749,-7.734181240144304
CC(C)C(O)(C(=O)OCC1CCN2CCCC12)C(C)O,-7.671,-5.328258977516409
CC1OC(OCC2OC(Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-7.668,-7.789587924803363
CCN(CC)CCC[C@@H](C)Nc1cc(OC)cc2cccnc12,-7.666,-3.0362929665702536
CCN(CCCl)CCCNc1c2ccccc2nc2c1ccc1cccnc12,-7.528,-3.43994230768375
O=[N+]([O-])c1ccc(CNc2nc[nH]c3ncnc2-3)cc1,-7.527,-3.5087638127921794
OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,-7.506,-7.2455304408775465
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,-7.498,-7.2868903039960635
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,-7.462,-6.001514123665602
O=C1NC(c2ccc([N+](=O)[O-])s2)Nc2ccccc21,-7.443,-2.9778364160657977
O=C1NC(c2ccc([NH+]([O-])O)s2)Nc2ccccc21,-7.443,-3.448768182736555
CC[C@]1(O)C[C@H](O[C@@H]2C[C@H](N)[C@@H](O)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)[C@H]1C(=O)OC,-7.41,-6.398307799341941
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-7.365,-7.041207545338263
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,-7.226,-5.908384649695051
O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12,-7.213,-7.312040869888355
