Smiles,docking score,gcnscore,SVMscore,XGBscore,gatscore,LGBMscore,RFscore,DNNscore,Ridgescore,mean,std
Br/C=C/Br,-2.009,-1.836027979850769,-1.824128358136857,-1.7740787,-2.169034957885742,-1.686418940857766,-3.695803313946031,-1.8088064193725584,-2.24074121683462,-2.129379985860543,0.6624748773299849
BrC(Br)Br,-2.031,-1.7763012647628784,-2.094702725915324,-2.1560338,-1.973482370376587,-2.490943118671089,-3.695803313946031,-2.549253225326538,-2.813296261213548,-2.443727010026499,0.6081369824361338
BrC(Br)C(Br)(Br)Br,-1.907,-2.21223258972168,-2.797475169089082,-2.4855292,-2.174517869949341,-2.6233477309645474,-3.695803313946031,-2.750568389892578,-3.0509717756460866,-2.7238057549011683,0.4910996547418779
BrC(Br)C(Br)Br,-2.064,-1.8199516534805296,-2.5413134201394696,-2.1560338,-2.0607731342315674,-2.490943118671089,-4.006414547426207,-2.622511625289917,-2.801898384893917,-2.562479960516587,0.6675856417871894
BrC/C=C\CBr,-2.211,-2.048902034759521,-1.650907083590344,-1.6372515,-2.419018268585205,-1.741848611737781,-3.620364547426207,-0.8064600229263306,-2.348219285311443,-2.034121419292104,0.8159239845781002
BrCBr,-1.557,-1.901968479156494,-2.2019695054123503,-2.0581403,-2.784718990325928,-2.115509772551082,-3.695803313946031,-1.981173038482666,-2.641194535498168,-2.42255974192159,0.6025764253238801
BrCC(Br)(Br)Br,-2.173,-2.471658945083618,-2.634396557473382,-2.5344086,-2.855006694793701,-2.2321190697002438,-3.695803313946031,-2.6935901641845703,-2.931094173768104,-2.7560096898687063,0.43863045974158416
BrCC(Br)C1CCC(Br)C(Br)C1,-3.187,-2.618857860565185,-3.423948068449339,-3.0536077,-3.0158255100250244,-3.1532261076708883,-3.695803313946031,-3.2869060039520264,-3.26684653843927,-3.1893776378809706,0.3167597177622401
BrCC(Br)CBr,-2.649,-2.2176899909973145,-3.1567914162405195,-2.567652,-2.9109511375427246,-2.7272284555526785,-3.695803313946031,-3.2884631156921387,-2.9687795081355404,-2.9416698672633683,0.4546521451625519
BrCC(Br)c1ccccc1,-3.441,-3.766523361206055,-3.9363188643582414,-3.6685596,-3.286740303039551,-3.5817226334299144,-3.730931429146637,-4.362693309783936,-3.746338135527557,-3.7599784545614865,0.3069482630712997
BrCC1CO1,-2.024,-2.289570569992065,-3.131727363750856,-2.7195468,-3.2963993549346924,-2.634463933374588,-3.695803313946031,-3.2667293548583984,-3.185459583720209,-3.027462534322105,0.448144395684831
BrCCBr,-1.974,-1.8243745565414429,-2.202248466594586,-2.0946069,-2.908345460891724,-2.115509772551082,-3.695803313946031,-2.034501075744629,-2.6524438953841387,-2.4409791802067042,0.6171425315193264
BrCCC(Br)Br,-2.289,-2.105260372161865,-2.9165531565089644,-2.7353902,-2.9477221965789795,-2.949275204251297,-3.695803313946031,-3.35805082321167,-3.060594350935835,-2.97108120219933,0.4617003730527187
BrCCCBr,-2.536,-2.1595687866210938,-2.800879316936632,-2.1561112,-2.9160099029541016,-2.115509772551082,-3.695803313946031,-2.3867619037628174,-2.704147006937461,-2.616848900463652,0.5372939291003535
BrCCCCBr,-2.616,-2.2741665840148926,-2.7097372386675485,-2.287178,-2.9025278091430664,-2.1351819527847127,-3.695803313946031,-2.5236024856567383,-2.76663819640229,-2.6618544475769097,0.4967649864878078
