Smiles,docking score,XGBscore
CCC[C@@H](C)C[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)CCCCCC[C@H](O)C[C@H](O)[C@@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O,-9.702,-8.720242
O=C1c2ccccc2C(=O)c2c1cc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c(CO)c2O,-9.502,-8.9612875
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,-9.255,-9.373841
OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,-9.066,-6.411183
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,-8.883,-7.565643
CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3CC(CN)C(O)C(O)C3O)C2O)CCC1(C)O,-8.704,-8.575635
O=C1c2ccccc2C(=O)c2c1ccc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c2O,-8.568,-8.826164
CCC1OC(CO)C(COCC2OC(COC3OC(CO)C(O)C(O)C3O)C(OC)C(O)C2O)C(O)C1O,-8.551,-7.904345
NCCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)O,-8.412,-6.852834
COc1cc(N[C@H](C)CCCN)c2ncccc2c1,-8.22,-3.3863688
COc1cc(NC(C)CCCN)c2ncccc2c1,-8.22,-3.3863688
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-8.153,-7.6183896
O=C1c2ccccc2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)ccc(O)c21,-8.092,-7.7122607
O=c1c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2oc2c(O)ccc(O)c12,-8.079,-7.066673
Nc1c2ncn(Cc3ccccc3)c2nc[n+]1[O-],-7.897,-4.9386587
Nc1nc(NO)c2ncn(C3OC(CO)C(O)C3O)c2n1,-7.886,-5.416104
OCC(CO)N[C@@H]1C[C@](O)(CO)[C@H](O)[C@@H](O)[C@@H]1O,-7.872,-5.5337625
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-7.869,-7.52636
CC(=O)C1(O)C=C(OC2CC(N)C(O)C(C)O2)c2c(c(O)c3c(O)c4ccccc4c(O)c3c2O)C1,-7.855,-4.3057957
CSCCC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,-7.808,-7.751175
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c(O)c1C2=O,-7.803,-7.565643
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,-7.762,-3.8754704
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,-7.762,-7.538784
O=C1c2ccccc2C(=O)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc(O)c21,-7.749,-7.7122607
CC(C)C(O)(C(=O)OCC1CCN2CCCC12)C(C)O,-7.671,-3.9025211
CC1OC(OCC2OC(Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-7.668,-7.9072995
CCN(CC)CCC[C@@H](C)Nc1cc(OC)cc2cccnc12,-7.666,-3.3146923
CCN(CCCl)CCCNc1c2ccccc2nc2c1ccc1cccnc12,-7.528,-4.078729
O=[N+]([O-])c1ccc(CNc2nc[nH]c3ncnc2-3)cc1,-7.527,-3.7287776
OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,-7.506,-5.5337625
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,-7.498,-6.033268
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,-7.462,-5.428417
O=C1NC(c2ccc([N+](=O)[O-])s2)Nc2ccccc21,-7.443,-3.3401022
O=C1NC(c2ccc([NH+]([O-])O)s2)Nc2ccccc21,-7.443,-2.7521875
CC[C@]1(O)C[C@H](O[C@@H]2C[C@H](N)[C@@H](O)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)[C@H]1C(=O)OC,-7.41,-7.00338
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-7.365,-6.411183
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,-7.226,-7.0153933
O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12,-7.213,-7.066673
ONc1ncnc2c1ncn2Cc1ccccc1,-7.211,-4.561164
Cc1ccc(NCC2(O)OCC(O)C(O)C2O)cc1,-7.179,-4.714839
